Paese,Betweenness,Degree,Strength_GWh,Community
UA,0.387624466571835,13,15860,0
PL,0.3499288762446657,11,59675,2
RS,0.3321479374110953,16,18084,0
RO,0.2652916073968706,8,17892,0
LT,0.2524893314366999,10,47248,3
AL,0.2489331436699857,6,10725,0
IT,0.2482219061166429,14,162676,2
FI,0.2411095305832148,8,83678,3
HU,0.2275960170697012,12,69195,0
ME,0.2254623044096728,8,13136,0
NO,0.205547652916074,8,38114,3
AT,0.1955903271692745,12,88529,2
RU,0.1842105263157895,10,2794,3
NL,0.1778093883357041,10,51779,1
CZ,0.1507823613086771,8,31963,2
SK,0.1479374110953058,8,50027,0
LV,0.131578947368421,6,13728,3
EE,0.1102418207681365,6,18769,3
FR,0.1024182076813655,12,38862,1
BY,0.1009957325746799,4,4470,3
DE,0.0768136557610241,17,92492,2
CH,0.0554765291607396,8,107533,2
GR,0.0526315789473684,10,40165,0
GB,0.0526315789473684,8,93988,1
ES,0.0526315789473684,4,63840,1
BE,0.0483641536273115,8,41472,1
SE,0.0355618776671408,12,34149,3
BG,0.0341394025604551,10,7431,0
LU,0.0248933143669985,3,16465,2
HR,0.0056899004267425,8,33732,0
MK,0.0021337126600284,6,16912,0
DK,0.0014224751066856,8,60279,3
TR,0.0,4,7479,0
SI,0.0,6,28212,2
BA,0.0,6,3482,0
PT,0.0,2,25110,1
IE,0.0,2,2973,1
MT,0.0,2,1871,2
MD,0.0,2,2148,0
